,Supplies SubgroupNum,Supplies GroupNum,Region Num,Route To MarketNum,Opportunity Result,PREDICT
317,8,2,4,0,Loss,Loss
318,7,0,1,0,Loss,Loss
319,8,2,4,2,Loss,Loss
320,2,0,1,0,Won,Loss
321,3,0,3,2,Loss,Loss
322,3,0,1,2,Loss,Loss
323,0,0,3,0,Loss,Loss
324,6,2,1,2,Loss,Loss
325,5,2,0,2,Won,Loss
326,7,0,3,2,Won,Loss
327,2,0,3,2,Loss,Loss
328,5,2,1,2,Loss,Loss
329,2,0,6,4,Loss,Loss
330,5,2,5,0,Loss,Loss
331,1,1,5,0,Loss,Loss
332,5,2,4,0,Won,Loss
333,2,0,2,0,Loss,Loss
334,2,0,4,2,Loss,Loss
335,2,0,4,0,Won,Loss
336,2,0,3,2,Loss,Loss
337,5,2,0,0,Loss,Loss
338,0,0,4,2,Won,Loss
339,2,0,3,0,Loss,Loss
340,7,0,4,0,Loss,Loss
341,5,2,1,0,Won,Loss
342,5,2,1,0,Loss,Loss
343,8,2,1,0,Won,Loss
344,0,0,4,2,Won,Loss
345,8,2,1,4,Loss,Loss
346,5,2,6,2,Loss,Loss
347,4,0,4,2,Won,Loss
348,0,0,4,0,Won,Loss
349,2,0,1,2,Loss,Loss
350,0,0,1,0,Loss,Loss
351,3,0,2,2,Won,Loss
352,1,1,1,0,Loss,Loss
353,7,0,0,0,Loss,Loss
354,2,0,2,2,Won,Loss
355,6,2,1,2,Loss,Loss
356,5,2,6,0,Loss,Loss
357,8,2,6,0,Won,Loss
358,5,2,3,2,Loss,Loss
359,2,0,3,2,Won,Loss
360,10,0,4,2,Loss,Loss
361,7,0,4,0,Loss,Loss
362,3,0,0,2,Loss,Loss
363,2,0,1,2,Loss,Loss
364,4,0,0,0,Loss,Loss
365,7,0,1,2,Won,Loss
366,0,0,6,4,Loss,Loss
367,5,2,0,0,Loss,Loss
368,2,0,4,2,Won,Loss
369,8,2,1,0,Loss,Loss
370,4,0,3,1,Loss,Loss
371,5,2,5,2,Loss,Loss
372,5,2,3,2,Loss,Loss
373,8,2,4,1,Loss,Loss
374,2,0,1,2,Loss,Loss
375,8,2,1,2,Loss,Loss
376,4,0,4,2,Loss,Loss
377,3,0,1,2,Loss,Loss
378,10,0,4,1,Loss,Loss
379,5,2,4,0,Won,Loss
380,5,2,1,0,Loss,Loss
381,3,0,1,0,Won,Loss
382,10,0,1,0,Loss,Loss
383,5,2,1,0,Won,Loss
384,8,2,1,1,Won,Loss
385,5,2,2,0,Won,Loss
386,3,0,3,2,Loss,Loss
387,7,0,0,2,Loss,Loss
388,5,2,5,2,Won,Loss
389,8,2,6,0,Won,Loss
390,5,2,1,2,Loss,Loss
391,8,2,3,1,Loss,Loss
392,10,0,1,0,Won,Loss
393,5,2,5,0,Won,Loss
394,2,0,4,0,Won,Loss
395,0,0,6,4,Loss,Loss
396,6,2,4,0,Loss,Loss
397,4,0,3,2,Loss,Loss
398,2,0,3,2,Loss,Loss
399,2,0,6,2,Won,Loss
400,8,2,2,0,Loss,Loss
401,2,0,4,2,Loss,Loss
402,5,2,1,0,Loss,Loss
403,5,2,1,0,Loss,Loss
404,5,2,2,0,Loss,Loss
405,5,2,5,2,Loss,Loss
406,0,0,0,0,Loss,Loss
407,3,0,0,2,Loss,Loss
408,2,0,5,0,Loss,Loss
409,3,0,3,2,Loss,Loss
410,7,0,4,0,Loss,Loss
411,6,2,4,2,Loss,Loss
412,5,2,4,2,Loss,Loss
413,5,2,3,0,Won,Loss
414,5,2,6,4,Loss,Loss
415,2,0,6,0,Loss,Loss
416,3,0,6,2,Loss,Loss
417,2,0,2,0,Loss,Loss
418,0,0,1,2,Loss,Loss
419,9,3,1,2,Won,Loss
420,4,0,2,2,Loss,Loss
421,2,0,2,2,Won,Loss
422,10,0,5,0,Loss,Loss
423,2,0,4,4,Won,Loss
424,5,2,1,2,Loss,Loss
425,0,0,6,2,Loss,Loss
426,5,2,3,2,Won,Loss
427,0,0,1,0,Won,Loss
428,6,2,1,0,Loss,Loss
429,2,0,5,0,Loss,Loss
430,0,0,1,2,Loss,Loss
431,3,0,1,2,Won,Loss
432,3,0,1,0,Won,Loss
433,3,0,4,2,Loss,Loss
434,5,2,2,2,Won,Loss
435,5,2,5,2,Won,Loss
436,6,2,6,0,Loss,Loss
437,3,0,5,2,Loss,Loss
438,0,0,0,0,Won,Loss
439,10,0,4,0,Loss,Loss
440,3,0,2,2,Won,Loss
441,10,0,3,2,Loss,Loss
442,5,2,3,2,Loss,Loss
443,2,0,5,0,Loss,Loss
444,2,0,1,2,Won,Loss
445,6,2,0,2,Loss,Loss
446,4,0,3,2,Loss,Loss
447,3,0,1,0,Loss,Loss
448,2,0,4,4,Won,Loss
449,10,0,1,1,Loss,Loss
450,3,0,0,0,Loss,Loss
451,3,0,3,2,Loss,Loss
452,0,0,6,2,Loss,Loss
453,3,0,1,2,Loss,Loss
454,5,2,5,0,Loss,Loss
455,7,0,2,0,Loss,Loss
456,2,0,1,2,Loss,Loss
457,0,0,1,0,Loss,Loss
458,2,0,4,2,Loss,Loss
459,2,0,5,0,Loss,Loss
460,7,0,4,0,Loss,Loss
461,5,2,3,2,Won,Loss
462,2,0,6,0,Loss,Loss
463,0,0,0,0,Loss,Loss
464,0,0,1,0,Loss,Loss
465,0,0,0,0,Loss,Loss
466,4,0,5,0,Loss,Loss
467,5,2,2,0,Loss,Loss
468,7,0,1,0,Loss,Loss
469,8,2,3,2,Won,Loss
470,7,0,5,4,Loss,Loss
471,8,2,0,0,Won,Loss
472,2,0,2,2,Loss,Loss
473,3,0,1,2,Loss,Loss
474,4,0,1,0,Loss,Loss
475,8,2,1,0,Loss,Loss
476,2,0,4,2,Loss,Loss
477,0,0,1,0,Won,Loss
478,0,0,4,2,Loss,Loss
479,2,0,1,0,Loss,Loss
480,4,0,5,0,Loss,Loss
481,5,2,1,0,Loss,Loss
482,5,2,4,2,Won,Loss
483,5,2,3,2,Loss,Loss
484,0,0,6,0,Loss,Loss
485,8,2,1,0,Loss,Loss
486,4,0,1,2,Loss,Loss
487,5,2,0,2,Loss,Loss
488,0,0,1,0,Won,Loss
489,8,2,4,1,Loss,Loss
490,3,0,2,2,Won,Loss
491,5,2,6,2,Loss,Loss
492,6,2,2,2,Loss,Loss
493,3,0,0,2,Won,Loss
494,5,2,3,0,Loss,Loss
495,3,0,1,2,Won,Loss
496,3,0,1,2,Loss,Loss
497,8,2,4,2,Loss,Loss
498,8,2,1,2,Loss,Loss
499,5,2,3,2,Loss,Loss
500,3,0,4,2,Won,Loss
501,2,0,5,0,Won,Loss
502,4,0,4,2,Loss,Loss
503,3,0,5,2,Loss,Loss
504,0,0,2,0,Loss,Loss
505,9,3,1,0,Loss,Loss
506,0,0,1,0,Loss,Loss
507,5,2,5,2,Loss,Loss
508,2,0,1,2,Loss,Loss
509,5,2,5,2,Loss,Loss
510,10,0,3,2,Loss,Loss
511,5,2,1,0,Loss,Loss
512,4,0,6,2,Won,Loss
513,8,2,1,0,Loss,Loss
514,8,2,4,0,Loss,Loss
515,3,0,5,2,Won,Loss
516,7,0,4,0,Loss,Loss
517,10,0,0,1,Loss,Loss
518,2,0,1,2,Loss,Loss
519,5,2,3,0,Loss,Loss
520,2,0,5,2,Won,Loss
521,8,2,5,0,Loss,Loss
522,4,0,3,2,Loss,Loss
523,5,2,4,2,Loss,Loss
524,0,0,2,2,Won,Loss
525,6,2,4,0,Won,Loss
526,10,0,3,0,Loss,Loss
527,6,2,1,0,Loss,Loss
528,3,0,1,2,Won,Loss
529,8,2,4,1,Loss,Loss
530,5,2,5,2,Loss,Loss
531,7,0,1,2,Loss,Loss
532,8,2,4,2,Loss,Loss
533,5,2,4,0,Loss,Loss
534,3,0,1,0,Won,Loss
535,10,0,4,1,Loss,Loss
536,7,0,0,2,Loss,Loss
537,10,0,4,0,Loss,Loss
538,3,0,1,2,Loss,Loss
539,2,0,0,0,Loss,Loss
540,6,2,1,0,Loss,Loss
541,8,2,2,2,Loss,Loss
542,2,0,2,2,Loss,Loss
543,10,0,6,2,Loss,Loss
544,0,0,6,4,Loss,Loss
545,3,0,1,2,Won,Loss
546,2,0,1,0,Loss,Loss
547,3,0,5,0,Loss,Loss
548,2,0,1,0,Loss,Loss
549,4,0,4,0,Won,Loss
550,7,0,5,0,Loss,Loss
551,8,2,1,0,Loss,Loss
552,10,0,4,0,Loss,Loss
553,7,0,0,2,Loss,Loss
554,8,2,6,0,Loss,Loss
555,5,2,0,2,Loss,Loss
556,5,2,6,0,Loss,Loss
557,10,0,0,1,Loss,Loss
558,2,0,3,2,Loss,Loss
559,5,2,3,2,Loss,Loss
560,0,0,1,0,Loss,Loss
561,3,0,1,2,Loss,Loss
562,2,0,1,2,Loss,Loss
563,8,2,4,0,Loss,Loss
564,0,0,6,0,Loss,Loss
565,8,2,0,0,Loss,Loss
566,0,0,1,0,Loss,Loss
567,3,0,1,0,Loss,Loss
568,4,0,3,1,Loss,Loss
569,5,2,5,2,Loss,Loss
570,7,0,1,2,Loss,Loss
571,3,0,1,2,Loss,Loss
572,4,0,5,0,Loss,Loss
573,5,2,1,0,Loss,Loss
574,4,0,1,0,Loss,Loss
575,2,0,4,0,Loss,Loss
576,8,2,1,0,Won,Loss
577,0,0,5,2,Loss,Loss
578,2,0,4,0,Loss,Loss
579,2,0,4,2,Loss,Loss
580,8,2,1,0,Loss,Loss
581,8,2,6,2,Loss,Loss
582,2,0,1,2,Loss,Loss
583,2,0,1,2,Won,Loss
584,7,0,2,0,Loss,Loss
585,5,2,2,2,Loss,Loss
586,8,2,5,0,Loss,Loss
587,8,2,2,0,Loss,Loss
588,2,0,4,0,Loss,Loss
589,2,0,3,0,Loss,Loss
590,5,2,6,2,Won,Loss
591,2,0,5,0,Loss,Loss
592,7,0,4,2,Won,Loss
593,2,0,3,2,Loss,Loss
594,7,0,4,0,Loss,Loss
595,4,0,4,0,Loss,Loss
596,8,2,2,2,Loss,Loss
597,2,0,4,2,Loss,Loss
598,3,0,5,0,Loss,Loss
599,3,0,1,0,Loss,Loss
600,5,2,6,2,Won,Loss
601,0,0,0,0,Loss,Loss
602,3,0,6,0,Loss,Loss
603,10,0,1,0,Loss,Loss
604,8,2,6,0,Loss,Loss
605,2,0,3,0,Won,Loss
606,0,0,5,4,Won,Loss
607,5,2,5,2,Loss,Loss
608,4,0,4,1,Won,Loss
609,7,0,1,0,Loss,Loss
610,7,0,6,2,Loss,Loss
611,0,0,3,0,Loss,Loss
612,5,2,2,0,Loss,Loss
613,5,2,1,2,Loss,Loss
614,3,0,0,2,Loss,Loss
615,3,0,0,2,Loss,Loss
616,6,2,1,2,Won,Loss
617,8,2,4,1,Loss,Loss
618,2,0,1,0,Loss,Loss
619,5,2,3,2,Loss,Loss
620,5,2,1,0,Loss,Loss
621,0,0,3,0,Loss,Loss
622,5,2,1,0,Loss,Loss
623,2,0,4,0,Won,Loss
624,2,0,1,0,Loss,Loss
625,0,0,6,0,Loss,Loss
626,2,0,0,2,Won,Loss
627,5,2,2,2,Loss,Loss
628,3,0,1,2,Loss,Loss
629,0,0,2,2,Won,Loss
630,5,2,4,2,Loss,Loss
631,2,0,5,2,Loss,Loss
632,2,0,2,0,Loss,Loss
633,7,0,1,2,Loss,Loss
634,5,2,4,0,Won,Loss
635,0,0,0,2,Loss,Loss
636,2,0,6,0,Loss,Loss
637,6,2,4,1,Loss,Loss
638,6,2,1,0,Loss,Loss
639,10,0,4,0,Loss,Loss
640,2,0,5,2,Loss,Loss
641,2,0,3,2,Loss,Loss
642,2,0,2,2,Won,Loss
643,8,2,4,2,Loss,Loss
644,5,2,3,0,Won,Loss
645,10,0,1,1,Loss,Loss
646,5,2,1,2,Won,Loss
647,8,2,5,0,Loss,Loss
648,2,0,1,0,Loss,Loss
649,0,0,6,2,Loss,Loss
650,7,0,4,2,Loss,Loss
651,10,0,6,0,Loss,Loss
652,5,2,4,2,Loss,Loss
653,0,0,3,0,Loss,Loss
654,0,0,3,0,Loss,Loss
655,5,2,1,0,Loss,Loss
656,5,2,1,2,Loss,Loss
657,7,0,3,2,Loss,Loss
658,5,2,2,2,Loss,Loss
659,7,0,3,2,Loss,Loss
660,8,2,0,2,Loss,Loss
661,5,2,2,0,Loss,Loss
662,7,0,3,0,Loss,Loss
663,8,2,5,0,Won,Loss
664,3,0,5,2,Loss,Loss
665,8,2,1,0,Loss,Loss
666,2,0,5,2,Loss,Loss
667,6,2,1,0,Loss,Loss
668,2,0,1,2,Loss,Loss
669,5,2,3,2,Loss,Loss
670,8,2,0,2,Loss,Loss
671,9,3,4,0,Loss,Loss
672,2,0,1,0,Won,Loss
673,5,2,3,2,Loss,Loss
674,0,0,2,0,Loss,Loss
675,0,0,4,0,Won,Loss
676,2,0,1,0,Won,Loss
677,2,0,3,2,Won,Loss
678,0,0,6,0,Won,Loss
679,9,3,6,0,Loss,Loss
680,5,2,2,0,Won,Loss
681,7,0,6,0,Loss,Loss
682,3,0,3,0,Won,Loss
683,4,0,6,2,Loss,Loss
684,5,2,3,0,Won,Loss
685,4,0,1,0,Loss,Loss
686,8,2,1,2,Won,Loss
687,3,0,5,2,Loss,Loss
688,5,2,4,2,Loss,Loss
689,5,2,3,2,Loss,Loss
690,0,0,3,0,Loss,Loss
691,6,2,2,2,Loss,Loss
692,4,0,6,0,Loss,Loss
693,10,0,4,2,Loss,Loss
694,10,0,3,0,Loss,Loss
695,5,2,1,0,Loss,Loss
696,3,0,1,2,Won,Loss
697,7,0,1,0,Loss,Loss
698,3,0,3,2,Loss,Loss
699,7,0,5,2,Loss,Loss
700,2,0,1,2,Loss,Loss
701,3,0,2,2,Loss,Loss
702,6,2,5,2,Loss,Loss
703,2,0,4,0,Loss,Loss
704,5,2,4,0,Loss,Loss
705,8,2,0,2,Won,Loss
706,4,0,2,0,Loss,Loss
707,7,0,5,0,Won,Loss
708,0,0,0,0,Loss,Loss
709,2,0,5,2,Loss,Loss
710,0,0,1,4,Won,Loss
711,0,0,4,0,Loss,Loss
712,5,2,5,2,Loss,Loss
713,2,0,3,2,Loss,Loss
714,7,0,2,2,Loss,Loss
715,6,2,3,1,Won,Loss
716,2,0,2,0,Loss,Loss
717,3,0,0,2,Loss,Loss
718,8,2,0,0,Loss,Loss
719,5,2,2,2,Loss,Loss
720,2,0,6,2,Loss,Loss
721,7,0,3,2,Loss,Loss
722,7,0,1,2,Loss,Loss
723,2,0,4,0,Loss,Loss
724,8,2,1,0,Loss,Loss
725,5,2,1,0,Loss,Loss
726,8,2,2,2,Loss,Loss
727,5,2,1,0,Loss,Loss
728,5,2,6,0,Won,Loss
729,2,0,1,2,Won,Loss
730,8,2,4,2,Loss,Loss
731,2,0,1,0,Loss,Loss
732,10,0,3,1,Loss,Loss
733,5,2,5,2,Loss,Loss
734,8,2,5,0,Loss,Loss
735,0,0,3,2,Loss,Loss
736,2,0,5,2,Won,Loss
737,3,0,0,2,Loss,Loss
738,8,2,1,0,Loss,Loss
739,5,2,4,2,Loss,Loss
740,8,2,1,0,Loss,Loss
741,8,2,1,0,Loss,Loss
742,2,0,1,2,Won,Loss
743,10,0,0,0,Loss,Loss
744,3,0,2,0,Loss,Loss
745,10,0,4,1,Loss,Loss
746,4,0,1,2,Loss,Loss
747,0,0,1,2,Won,Loss
748,2,0,6,2,Won,Loss
749,7,0,4,1,Loss,Loss
750,5,2,6,0,Loss,Loss
751,7,0,6,2,Loss,Loss
752,3,0,1,2,Won,Loss
753,5,2,3,2,Loss,Loss
754,8,2,5,0,Loss,Loss
755,8,2,0,0,Won,Loss
756,10,0,6,0,Loss,Loss
757,8,2,1,0,Loss,Loss
758,2,0,5,0,Won,Loss
759,2,0,1,0,Loss,Loss
760,5,2,3,0,Loss,Loss
761,5,2,1,0,Loss,Loss
762,5,2,1,2,Won,Loss
763,4,0,4,0,Loss,Loss
764,2,0,3,2,Won,Loss
765,0,0,3,2,Loss,Loss
766,2,0,4,0,Loss,Loss
767,8,2,2,2,Loss,Loss
768,3,0,1,2,Loss,Loss
769,0,0,1,0,Loss,Loss
770,8,2,5,2,Loss,Loss
771,7,0,1,0,Loss,Loss
772,8,2,6,2,Loss,Loss
773,0,0,2,1,Loss,Loss
774,5,2,1,2,Won,Loss
775,5,2,1,2,Loss,Loss
776,10,0,1,0,Loss,Loss
777,6,2,1,2,Won,Loss
778,5,2,4,0,Loss,Loss
779,7,0,0,2,Loss,Loss
780,5,2,1,0,Won,Loss
781,2,0,0,2,Loss,Loss
